,zipcode,latitude,longitude,group
10694,16798,53.187144,13.088744,1
10695,66871,49.5167,7.36667,2
10696,1774,50.87321,13.52653,1
10697,55471,49.9333,7.516669999999999,2
10698,66887,49.5667,7.45,2
10699,53520,50.45,6.88333,2
10700,63486,50.1833,8.91667,2
10701,7774,51.0333,11.7667,3
10702,95709,50.0167,11.95,3
10703,19077,53.52854,11.39822,0
10704,39249,51.96679,11.8791,1
10705,25554,53.908773,9.371519,0
10706,66557,49.3667,7.05,2
10707,54673,50.0333,6.25,2
10708,18581,54.3574,13.500979999999998,1
10709,19089,53.57394,11.65367,1
10710,2692,51.1336218124698,14.3503477142334,1
10711,1877,51.1336218124698,14.3503477142334,1
10712,2633,51.1336218124698,14.3503477142334,1
10713,94579,48.8,13.2667,3
10714,54426,49.7833,6.9,2
10715,18437,54.310080000000006,13.01142,1
10716,31177,52.20968,9.96167000000003,0
10717,91171,49.0483,11.3614,3
10718,18182,54.1376348584758,12.2069889179993,1
10719,37318,51.38868,10.0440100000001,0
10720,66901,49.4,7.36667,2
10721,14822,52.05107,12.67218,1
10722,19357,53.20288000000001,11.80309,1
10723,23813,54.01071,10.31228,0
10724,97320,49.7075011,10.133514,3
10725,14789,52.37806,12.3789400000001,1
10726,19230,53.51178,11.2415100000001,0
10727,54314,49.6333,6.7,2
10728,56858,50.0333,7.33333,2
10729,18246,53.9386,11.96631,1
10730,17375,53.71944000000001,14.02814,1
10731,26579,53.7278,7.36965,0
10732,39524,52.78746999999999,12.04608,1
10733,55278,49.8167,8.34361,2
10734,82494,47.5,11.2833,3
10735,46569,51.64087,6.767789999999992,2
10736,93161,49.0,12.0333,3
10737,32289,52.25474000000001,8.48230999999998,0
10738,54597,50.1,6.45,2
10739,24848,54.37778,9.43111,0
10740,99958,51.1167,10.7833,3
10741,14715,52.62893,12.45728,1
10742,23883,53.62066,10.81868,0
10743,91550,49.0667,10.3167,3
10744,97320,49.7667,10.1667,3
10745,54636,49.9,6.5666699999999985,2
10746,34593,50.9771,9.48646,2
10747,92676,49.7833,11.8167,3
10748,59423,51.54257,7.685330000000019,2
10749,59425,51.54257,7.685330000000019,2
10750,59427,51.54257,7.685330000000019,2
10751,39291,52.21866,12.12041,1
10752,56244,50.5167,7.8166699999999985,2
10753,76829,49.1833,8.019169999999999,2
10754,94124,48.6667,13.5,3
10755,56332,50.3167,7.46667,2
10756,17391,53.84509,13.579529999999998,1
10757,53721,50.8,7.2,2
10758,56858,50.0833,7.33333,2
10759,56754,50.2167,7.25,2
10760,18546,54.536952221982794,13.619821142883303,1
10761,54295,49.75,6.63333,2
10762,54296,49.75,6.63333,2
10763,99826,51.0667,10.35,3
10764,27632,53.72783,8.569770000000059,0
10765,88486,48.1333,10.0833,3
10766,16928,53.13134,12.1451,1
10767,73614,48.8,9.53333,3
10768,79361,48.1333,7.61667,2
10769,99448,50.85,11.2,3
10770,18258,53.9645793508635,12.0520599365234,1
10771,6647,51.2084698604946,11.585660343933101,1
